,Free recall (immediate),Free recall (delayed),Naturalistic recall (immediate),Naturalistic recall (delayed),Foreign language flashcards (immediate),Foreign language flashcards (delayed),Spatial learning (intercept),Spatial learning (slope)
0001,0.515625,0.1875,0.9012034771441536,0.917849268735808,,,0.7406765768383718,0.6209534043853935
0002,0.984375,0.90625,0.8506492392524381,0.5635744267367179,0.8,,0.8307309333239156,0.4969518828866401
0003,0.671875,0.265625,0.9101459997579132,0.8311012111239143,0.7,0.7,0.9620554513802104,0.0808928221495328
0004,0.46875,0.3125,0.851312211803789,0.8852060695043644,,,0.8018840173214521,0.5008538500737519
0005,0.640625,0.328125,0.7462283721504351,0.7737651521245711,0.8,0.8,0.6293208349601704,0.8054901596636185
0006,0.875,0.484375,0.8508534244625259,0.9071966331560264,0.8,,0.5675625261285189,0.6058885061229298
0007,0.6875,0.34375,0.9771931949541366,0.9272388810153572,0.9,0.9,0.6976114468149058,0.5288687217703212
0008,0.8125,0.65625,0.7802950787176066,0.8083942434440377,,,0.9501557179906762,0.1539905431609378
0009,0.71875,0.46875,0.8918190012597627,0.7405615545136084,0.4,0.3,0.866310457611025,0.3649683061825955
0010,0.75,0.546875,0.8801611929987743,0.6977277176351858,,,0.6862927704609891,0.7093324899736094
0011,0.328125,0.15625,0.8915264014183315,0.8158278251432719,0.6,0.6,0.8250656681122429,0.2316059082359298
0012,0.34375,0.125,0.9999506970874072,,0.3,0.3,0.6954103569769073,0.4416742868497436
0013,0.515625,0.234375,0.9226443406651428,0.8779305900832212,,,0.8025068656304459,0.4267324515879158
0014,0.5,0.078125,0.871267686788801,0.6082298496974258,0.5,0.5,0.8335693510606479,0.2384462182600886
0015,0.546875,0.296875,0.846787715339863,0.6627415959840809,,,0.8702597780647752,0.4301860099218668
0016,0.640625,0.3125,0.916351987311013,0.8475719631284522,0.9,0.9,0.9031504757576008,0.2696864139996973
0017,0.0,0.0,,,0.1,0.2,0.4781415136039396,0.5421749982900299
0018,0.578125,0.234375,0.910646109682904,0.7500783146915813,,0.9,0.7128531949066398,0.513545915623636
0019,0.8125,0.5625,0.7250469721730546,0.8550579475460636,,0.9,0.8880870608551138,0.2606087220847806
0020,0.9375,0.765625,0.8038428004989607,0.7955294680110728,,,0.8058787229697109,0.4892336067690505
0021,0.453125,0.203125,0.8806396608551816,0.7069838081064659,0.7,0.8,0.8030063941339757,0.4374585942847443
0022,0.53125,0.3125,0.8460593522499917,0.9468930062370592,,,0.8568785246092792,0.3885737364915808
0023,1.0,0.546875,0.934289416927833,0.7279570346363183,,,0.6261374469398999,0.8346505964139826
0024,0.390625,0.21875,0.7569587327004561,0.8812804447369404,0.6,0.5,0.8577870240337214,0.2537196287296695
0025,0.0625,0.0,,,0.6,0.2,0.1815320835716297,0.7880728650822362
0026,0.3125,0.0625,0.6810344545508307,0.6977277176353002,0.7,0.9,0.514585789451871,0.4756046043481221
0027,0.390625,0.1875,0.994744344524204,0.9561979889463588,0.9,0.7,0.6150057519731518,0.5790497600856266
0028,0.875,0.609375,0.8498239139264792,0.9122558579243256,,,0.6583159241422246,0.7222260329232035
0029,0.578125,0.390625,0.8435558668651756,0.7411858520023663,0.4,0.7,0.8807706972312932,0.3861656742572026
0030,0.828125,0.28125,0.9203250685636124,0.8682236872048908,,,0.661328752006022,0.6039418850943543
0031,0.578125,0.375,0.745325497387037,0.8467343339313412,,0.9,0.8550729083386228,0.4123521829883925
0032,0.671875,0.40625,0.8803075296001209,0.5886499155003054,0.9,0.7,0.8892229700251894,0.2934386049657674
0033,0.953125,0.25,0.8439414963464482,0.7145184088942306,,0.9,0.5820519544650379,0.8711284638562089
0034,0.609375,0.390625,0.833050535087848,0.6050073293585085,0.8,0.7,0.756701616569328,0.5737857745333595
0035,0.5625,0.203125,0.8685173663540519,0.9399270080464928,,0.9,0.871888643635595,0.2728142540241754
0036,0.703125,0.421875,0.817648748815069,0.7048471258837387,,,0.0177341578333774,0.84962701198542
0037,0.640625,0.46875,0.8382787691329963,0.8880213399592708,,,0.7441468134323113,0.394266226993742
0038,0.453125,0.28125,0.9213798694184446,0.9271018328630568,0.8,0.9,0.669810669919798,0.5879613901383909
0039,0.890625,0.5625,0.8706335455498231,0.6464013256138136,,,0.6773493290851227,0.7327133945284722
0040,0.609375,0.21875,0.8749901331371864,0.717494543106913,0.9,,0.6626485369958816,0.777827047084784
0041,0.578125,0.3125,0.974731881030108,0.9862138839687048,0.7,0.9,0.9105334455550176,0.2912161947834026
